,Unnamed: 0,roiName,roiLongName,group,groupLong
23,23,pMTG_l,Middle_Temporal_Gyrus_posterior_division_Left,lDMN,lateral_Default_Mode_Network_areas
24,24,toMTG_r,Middle_Temporal_Gyrus_temporooccipital_part_Right,Lang_R,Language_Network_right_Hemisphere
25,25,toMTG_l,Middle_Temporal_Gyrus_temporooccipital_part_Left,FPN_Lang_L,Fronto_Parietal_and_Language_Network_left_hemisphere
26,26,aITG_r,Inferior_Temporal_Gyrus_anterior_division_Right,ITG,Inferior_Temporal_Gyrus
27,27,aITG_l,Inferior_Temporal_Gyrus_anterior_division_Left,ITG,Inferior_Temporal_Gyrus
28,28,pITG_r,Inferior_Temporal_Gyrus_posterior_division_Right,ITG,Inferior_Temporal_Gyrus
29,29,pITG_l,Inferior_Temporal_Gyrus_posterior_division_Left,ITG,Inferior_Temporal_Gyrus
30,30,toITG_r,Inferior_Temporal_Gyrus_temporooccipital_part_Right,DAN,Dorsal_Attention_Network
31,31,toITG_l,Inferior_Temporal_Gyrus_temporooccipital_part_Left,DAN,Dorsal_Attention_Network
32,32,PostCG_r,Postcentral_Gyrus_Right,Motor,Motor_areas
33,33,PostCG_l,Postcentral_Gyrus_Left,Motor,Motor_areas
34,34,SPL_r,Superior_Parietal_Lobule_Right,DAN,Dorsal_Attention_Network
